Base,Reranker,Optimization,Protected,Metric,Value
BPR,None,Original,,NDCG,0.0658
BMF,None,Original,,NDCG,0.0325
SLIM,None,Original,,NDCG,0.0167
RankALS,None,Original,,NDCG,0.0554
BPR,FAR,Separate,Loan Bucket 5,NDCG,0.0595
BMF,FAR,Separate,Loan Bucket 5,NDCG,0.033
SLIM,FAR,Separate,Loan Bucket 5,NDCG,0.0161
RankALS,FAR,Separate,Loan Bucket 5,NDCG,0.0522
BPR,FA*IR,Separate,Loan Bucket 5,NDCG,0.0596
BMF,FA*IR,Separate,Loan Bucket 5,NDCG,0.0341
SLIM,FA*IR,Separate,Loan Bucket 5,NDCG,0.016
RankALS,FA*IR,Separate,Loan Bucket 5,NDCG,0.0529
BPR,PFAR,Separate,Loan Bucket 5,NDCG,0.0633
BMF,PFAR,Separate,Loan Bucket 5,NDCG,1.0
SLIM,PFAR,Separate,Loan Bucket 5,NDCG,0.016
RankALS,PFAR,Separate,Loan Bucket 5,NDCG,0.0535
BPR,FAR,Joint,Loan Bucket 5,NDCG,0.0642
BMF,FAR,Joint,Loan Bucket 5,NDCG,0.0312
SLIM,FAR,Joint,Loan Bucket 5,NDCG,0.015
RankALS,FAR,Joint,Loan Bucket 5,NDCG,0.0535
BPR,FA*IR,Joint,Loan Bucket 5,NDCG,0.0593
BMF,FA*IR,Joint,Loan Bucket 5,NDCG,0.292
SLIM,FA*IR,Joint,Loan Bucket 5,NDCG,0.0159
RankALS,FA*IR,Joint,Loan Bucket 5,NDCG,1.0
BPR,PFAR,Joint,Loan Bucket 5,NDCG,1.0
BMF,PFAR,Joint,Loan Bucket 5,NDCG,1.0
SLIM,PFAR,Joint,Loan Bucket 5,NDCG,1.0
RankALS,PFAR,Joint,Loan Bucket 5,NDCG,0.0535
BPR,FAR,Joint-5%,Loan Bucket 5,NDCG,0.0694
BMF,FAR,Joint-5%,Loan Bucket 5,NDCG,0.033
SLIM,FAR,Joint-5%,Loan Bucket 5,NDCG,0.0162
RankALS,FAR,Joint-5%,,NDCG,1.0
BPR,FA*IR,Joint-5%,Loan Bucket 5,NDCG,0.0596
BMF,FA*IR,Joint-5%,Loan Bucket 5,NDCG,0.0341
